ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0043068	positive regulation of programmed cell death	35/498	425/12060	0.0823529411764706	1.99433026222537	4.33107560412941	7.73467203268983e-05	0.00111221961907357	0.000790992686732884	LPAR1/TNFAIP8/SFRP1/IGFBP3/DUSP6/F2RL1/CCN1/XBP1/F3/THBS1/TNFSF15/RET/LTB/CTSC/AKR1C3/PHLDA2/NKX3-1/GADD45A/TLR4/DUSP1/PMAIP1/MYC/DLC1/HTATIP2/BID/EMILIN1/DDIT3/FZD9/TGFB1/CYP1B1/CAV1/HMOX1/NR4A3/TGFB2/LTBR	35
GO:0060349	bone morphogenesis	12/498	78/12060	0.153846153846154	3.725671918443	5.01198843245674	7.79110435465385e-05	0.00111654948217708	0.0007940720156628	FGF18/FOXC1/COL13A1/FOSL2/TWIST1/STC1/PAPPA2/TRPV4/INSIG1/TMEM119/TGFB1/RUNX2	12
GO:0044093	positive regulation of molecular function	34/498	409/12060	0.0831295843520782	2.01313812708045	4.32615971266859	8.14120361601347e-05	0.00116279413263061	0.000826960466542428	RIPK4/MBP/PIM1/CDH3/KIT/PDGFB/PRKCH/F2RL1/VSIR/SH3BP1/FGF18/FOXC1/TNFSF15/NRG1/EDN1/RGS16/GATA3/PRSS22/IRAK1/TBC1D2/TXN/FLT1/EPHA2/RGS10/THY1/RHEBL1/TLR4/CARD10/CARD11/PLAUR/DDR2/ASPH/DDIT3/RASGRP2	34
GO:0002043	blood vessel endothelial cell proliferation involved in sprouting angiogenesis	6/498	19/12060	0.315789473684211	7.64743183259353	6.01801479624432	8.24115817827606e-05	0.00116919709004171	0.000831514146767793	JCAD/THBS1/EPHA2/VEGFA/SEMA5A/HMOX1	6
GO:0036303	lymph vessel morphogenesis	6/498	19/12060	0.315789473684211	7.64743183259353	6.01801479624432	8.24115817827606e-05	0.00116919709004171	0.000831514146767793	CCBE1/FOXC1/FOXC2/EPHA2/VEGFA/VEGFC	6
GO:1904888	cranial skeletal system development	10/498	56/12060	0.178571428571429	4.32444061962134	5.17491757291154	8.46759929600951e-05	0.00119388275232504	0.00084907019235305	MTHFD1L/IRF6/FOXC2/IRX5/TWIST1/INSIG1/SIX1/TGFB1/RUNX2/TGFB2	10
GO:0045933	positive regulation of muscle contraction	7/498	27/12060	0.259259259259259	6.27844712182062	5.69842629583348	8.47901908963157e-05	0.00119388275232504	0.00084907019235305	NPNT/KIT/ADRA2B/EDN1/ADA/TRPV4/SPX	7
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	20/498	186/12060	0.10752688172043	2.60396424407307	4.5751619209339	8.49958960872611e-05	0.00119388275232504	0.00084907019235305	TRIM38/LPAR1/DDX21/F2RL1/TNFSF15/BST2/EDN1/EDA/IRAK1/LTB/TLR4/VEGFA/NAMPT/CARD10/S100A4/CARD11/TGFB1/CAV1/HMOX1/LTBR	20
GO:0045599	negative regulation of fat cell differentiation	9/498	46/12060	0.195652173913043	4.73808276584599	5.27154419001861	9.13265957569482e-05	0.00127857234059727	0.000909300064059106	TRIB2/JDP2/VEGFA/TRIB3/TRPV4/INSIG1/JAG1/DDIT3/TGFB1	9
GO:0006954	inflammatory response	39/498	499/12060	0.0781563126252505	1.89270106478016	4.22680742295396	9.43948000674575e-05	0.00131718007199393	0.000936757261057248	CHST2/KIT/LPL/F11R/ELF3/CEBPA/F2RL1/KLF4/TRIM55/F3/THBS1/GATA3/KCNK6/HDAC9/ADM/IL4R/CTSC/EPHA2/FOSL2/WNK4/ADA/TNC/SCUBE1/CEBPB/TLR4/NAMPT/LDLR/TRPV4/S1PR3/FUT4/FOSL1/ZFP36/MAPK13/RHBDF2/FOS/TGFB1/SEMA7A/HMOX1/NR1D1	39
